;Mkt-RF;SMB;HML;RMW;CMA;RF
31-01-1999;-0,43;-0,02;-2,07;1,69;-3,57;0,35
28-02-1999;-2,19;2,47;-1,1;2,16;1,81;0,35
31-03-1999;-0,03;-0,28;1,38;-0,71;1,58;0,43
30-04-1999;2,95;0,85;1,87;0,35;-0,32;0,37
31-05-1999;-3,8;4,37;0,11;0,19;1,79;0,34
30-06-1999;1,71;0,15;0,52;0,39;-1,48;0,4
31-07-1999;1,12;3,39;0,35;-0,81;1,35;0,38
31-08-1999;1,34;3,32;-1,09;-1,56;-3,27;0,39
30-09-1999;-0,32;1,34;-1,8;-1,59;-1,89;0,39
31-10-1999;1,72;-1,12;-3,81;2,2;-1,49;0,39
30-11-1999;2,76;-0,42;-9,05;2,93;-5,48;0,36
31-12-1999;9,26;-4,95;-4,26;4,57;-6,16;0,44
31-01-2000;-7,12;8,83;-6,12;2,65;-4,28;0,41
29-02-2000;5,87;0,83;-9,5;3,63;-7,3;0,43
31-03-2000;0,66;-5,11;3,23;-2,64;4,92;0,47
30-04-2000;-5,58;-4,57;5,8;-1,55;1,31;0,46
31-05-2000;-0,07;0,19;6,06;-3,49;4,89;0,5
30-06-2000;0,68;0,33;3,21;-3,42;1,22;0,4
31-07-2000;-1,58;-0,68;3,3;-0,15;-0,11;0,48
31-08-2000;-1,57;0,63;-0,38;-1,32;0,57;0,5
30-09-2000;-4,99;2,33;2,64;1,6;2,16;0,51
31-10-2000;-2,7;-6,17;7,63;2,6;4,11;0,56
30-11-2000;-4,55;-0,8;11,16;0,81;8,77;0,51
31-12-2000;5,68;0,35;3,32;-0,47;0,66;0,5
31-01-2001;0,39;1,75;0,69;-0,91;0,82;0,54
28-02-2001;-8,69;4,67;9,42;-1,67;6,8;0,38
31-03-2001;-9,34;-0,68;5,83;2,51;2,67;0,42
30-04-2001;7,4;-3,49;-3,15;2,68;-1,93;0,39
31-05-2001;-5,03;2,81;4,23;-0,25;3,36;0,32
30-06-2001;-3,65;-0,77;6,21;-1,07;5,31;0,28
31-07-2001;-0,7;-1,64;3,81;2,32;3,45;0,3
31-08-2001;-2,03;2,26;4,14;1,43;5,05;0,31
30-09-2001;-11,56;-4,76;2,34;1,09;3,31;0,28
31-10-2001;3,24;1,34;-3,29;-1,78;-5,42;0,22
30-11-2001;4,09;1,93;-1,1;-2,29;-4,37;0,17
31-12-2001;1,82;-1,54;1,4;2,54;0,86;0,15
31-01-2002;-4,7;3,23;1,83;3,13;2,58;0,14
28-02-2002;0,41;-0,02;1,74;2,85;4,65;0,13
31-03-2002;5,08;-0,48;0,74;0,39;-0,29;0,13
30-04-2002;-0,32;3,37;4,76;1,39;5,28;0,15
31-05-2002;0,43;1,99;4,7;0,16;2,61;0,14
30-06-2002;-2,48;1,76;2,42;2,6;4,63;0,13
31-07-2002;-10,59;2,43;3,15;1,51;0,44;0,15
31-08-2002;0,14;-1,83;2,11;0,75;-0,34;0,14
30-09-2002;-13,17;3,29;-1,9;6,4;0,52;0,14
31-10-2002;8,58;-7,33;-0,84;-4,88;0,13;0,14
30-11-2002;4,89;-0,76;2,16;-5;0,55;0,12
31-12-2002;-2,76;4,19;3,24;2,24;0,16;0,11
31-01-2003;-3,45;2,42;2,52;-0,88;1,05;0,1
28-02-2003;-3,35;0,53;1,66;0,23;-0,63;0,09
31-03-2003;-1,49;0,86;-0,51;1,6;0,53;0,1
30-04-2003;13,12;-2,25;0,24;-3,68;-0,05;0,1
31-05-2003;7,66;2,92;1,12;-1,3;0,2;0,09
30-06-2003;1,17;1,98;0,42;0,69;-0,42;0,1
31-07-2003;1,71;1,19;3,88;-3,59;2,16;0,07
31-08-2003;0,19;3,26;0,01;1,02;1,06;0,07
30-09-2003;2,8;2,82;0,07;0,37;-0,11;0,08
31-10-2003;6,2;-0,81;3,66;-2,92;2,25;0,07
30-11-2003;4,49;0,15;0,41;-0,11;0,88;0,07
31-12-2003;7,32;-1,92;0,49;0,42;-0,2;0,08
31-01-2004;2,47;4,02;2,39;-1,72;3,64;0,07
29-02-2004;3,1;1,14;0,37;0,8;-0,95;0,06
31-03-2004;-3,32;0,83;-0,25;1,39;-2,17;0,09
30-04-2004;-1,23;-0,75;0,86;0,64;-0,25;0,08
31-05-2004;1,42;-1,05;-0,84;0,83;-1,25;0,06
30-06-2004;1,99;1,21;0,98;0,85;1,03;0,08
31-07-2004;-3,12;0,13;0,45;1,56;-1,14;0,1
31-08-2004;0,37;-0,41;1,32;-0,31;-0,48;0,11
30-09-2004;4,01;0,21;0,74;-0,65;-0,35;0,11
31-10-2004;4,06;0,2;0,69;0,15;0,48;0,11
30-11-2004;6,86;2,15;1,73;-1,44;0,85;0,15
31-12-2004;4,25;0,6;0,72;0,73;0,47;0,16
31-01-2005;-1,25;3,72;1,57;0,15;-0,55;0,16
28-02-2005;4,59;0,95;1,04;0,33;0,34;0,16
31-03-2005;-2,57;-0,12;0,24;0,23;0,17;0,21
30-04-2005;-2,59;0,53;-0,11;-0,3;0,6;0,21
31-05-2005;-0,03;-1,49;1,18;-0,53;0,33;0,24
30-06-2005;1,53;1,06;1,64;0,73;-0,09;0,23
31-07-2005;3,82;0,55;1,34;-0,17;-0,5;0,24
31-08-2005;2,02;2,14;-0,11;0,17;0,58;0,3
30-09-2005;1,48;-0,16;0,12;0,52;-1,03;0,29
31-10-2005;-3,41;-1,14;0,41;-1,05;1,12;0,27
30-11-2005;1,29;-0,2;0,56;-0,03;-1,5;0,31
31-12-2005;3,8;0,62;0,44;-0,64;-0,4;0,32
31-01-2006;6,38;2,34;1,74;-0,66;-2,18;0,35
28-02-2006;0,55;2,15;1,45;-1,3;-1,04;0,34
31-03-2006;3,99;0,8;1,71;-1,19;0,23;0,37
30-04-2006;5,25;2,01;-0,32;1,07;0,16;0,36
31-05-2006;-3,64;-0,96;-0,55;1,02;1,04;0,43
30-06-2006;-0,21;-1,75;-0,51;0,32;-0,71;0,4
31-07-2006;1,01;-1,72;1,61;-0,42;0,14;0,4
31-08-2006;2,7;-0,2;0,39;-0,17;-0,38;0,42
30-09-2006;0,69;0,05;0,32;-0,55;0,75;0,41
31-10-2006;3,82;0,22;1,5;0,54;-0,49;0,41
30-11-2006;3,76;2,44;0,34;0,17;0,22;0,42
31-12-2006;3,32;0,96;0,55;-0,05;-0,58;0,4
31-01-2007;0,61;1,99;0,77;-0,65;0,58;0,44
28-02-2007;-0,51;1,36;-0,09;1,04;0,64;0,38
31-03-2007;3,71;0,71;0,04;0,94;0,21;0,43
30-04-2007;5,54;-0,21;1,26;0,12;0,29;0,44
31-05-2007;1,56;-0,75;0,56;0,99;1,08;0,41
30-06-2007;-0,16;-0,49;0,4;2,27;0,46;0,4
31-07-2007;-2,22;1,9;-0,36;1,33;-0,52;0,4
31-08-2007;-2,08;-3,04;-0,06;0,65;1,03;0,42
30-09-2007;4,82;-3,8;-0,85;-0,73;-0,86;0,32
31-10-2007;4,34;0,24;-0,92;1,48;-1,39;0,32
30-11-2007;-4,03;-4,47;-1,76;0,49;1,54;0,34
31-12-2007;-2,1;-0,97;1,22;-0,12;0,55;0,27
31-01-2008;-10,01;0,47;-0,01;-0,93;1,58;0,21
29-02-2008;1,96;2,63;-0,51;0,51;-1,28;0,13
31-03-2008;0,26;-0,61;2,37;-0,81;-0,22;0,17
30-04-2008;4,41;-2,61;-0,01;1,73;-0,8;0,18
31-05-2008;0,85;0,37;-1,17;0,41;-0,86;0,18
